npm verbose cli C:\Program Files\nodejs\node.exe C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js
npm http cache https://registry.npmjs.org/strip-json-comments 92ms (cache hit)
npm http cache https://registry.npmjs.org/js-yaml 96ms (cache hit)
npm http cache https://registry.npmjs.org/ansis 103ms (cache hit)
npm http cache https://registry.npmjs.org/@angular-devkit%2fschematics-cli 112ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fprompts 129ms (cache hit)
npm http cache https://registry.npmjs.org/@angular-devkit%2fschematics 137ms (cache hit)
npm http cache https://registry.npmjs.org/glob 113ms (cache hit)
npm http cache https://registry.npmjs.org/fork-ts-checker-webpack-plugin 126ms (cache hit)
npm http cache https://registry.npmjs.org/ora 126ms (cache hit)
npm http cache https://registry.npmjs.org/node-emoji 132ms (cache hit)
npm http cache https://registry.npmjs.org/tsconfig-paths-webpack-plugin 129ms (cache hit)
npm http cache https://registry.npmjs.org/webpack 104ms (cache hit)
npm http cache https://registry.npmjs.org/typescript 188ms (cache hit)
npm http cache https://registry.npmjs.org/webpack-node-externals 253ms (cache hit)
npm http cache https://registry.npmjs.org/file-type 252ms (cache hit)
npm http cache https://registry.npmjs.org/iterare 250ms (cache hit)
npm http cache https://registry.npmjs.org/load-esm 235ms (cache hit)
npm http cache https://registry.npmjs.org/uid 216ms (cache hit)
npm http cache https://registry.npmjs.org/tslib 232ms (cache hit)
npm http cache https://registry.npmjs.org/tslib 211ms (cache hit)
npm http cache https://registry.npmjs.org/fast-safe-stringify 203ms (cache hit)
npm http cache https://registry.npmjs.org/iterare 202ms (cache hit)
npm http cache https://registry.npmjs.org/uid 158ms (cache hit)
npm http cache https://registry.npmjs.org/tslib 197ms (cache hit)
npm http cache https://registry.npmjs.org/cors 42ms (cache hit)
npm http cache https://registry.npmjs.org/path-to-regexp 205ms (cache hit)
npm http cache https://registry.npmjs.org/tslib 32ms (cache hit)
npm http cache https://registry.npmjs.org/path-to-regexp 43ms (cache hit)
npm http cache https://registry.npmjs.org/multer 54ms (cache hit)
npm http cache https://registry.npmjs.org/tslib 44ms (cache hit)
npm http cache https://registry.npmjs.org/object-hash 47ms (cache hit)
npm http cache https://registry.npmjs.org/pluralize 48ms (cache hit)
npm http cache https://registry.npmjs.org/comment-json 45ms (cache hit)
npm http cache https://registry.npmjs.org/jsonc-parser 48ms (cache hit)
npm http cache https://registry.npmjs.org/path-to-regexp 44ms (cache hit)
npm http cache https://registry.npmjs.org/@angular-devkit%2fschematics 54ms (cache hit)
npm http cache https://registry.npmjs.org/lodash 64ms (cache hit)
npm http cache https://registry.npmjs.org/swagger-ui-dist 63ms (cache hit)
npm http cache https://registry.npmjs.org/@angular-devkit%2fcore 82ms (cache hit)
npm http cache https://registry.npmjs.org/@nestjs%2fmapped-types 75ms (cache hit)
npm http cache https://registry.npmjs.org/@microsoft%2ftsdoc 87ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fbody-parser 79ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fserve-static 78ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fexpress-serve-static-core 76ms (cache hit)
npm http cache https://registry.npmjs.org/expect 78ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fsuperagent 72ms (cache hit)
npm http cache https://registry.npmjs.org/undici-types 93ms (cache hit)
npm http cache https://registry.npmjs.org/pretty-format 102ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fmethods 102ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fvalidator 86ms (cache hit)
npm http cache https://registry.npmjs.org/validator 64ms (cache hit)
npm http cache https://registry.npmjs.org/libphonenumber-js 89ms (cache hit)
npm http cache https://registry.npmjs.org/find-up 74ms (cache hit)
npm http cache https://registry.npmjs.org/chalk 84ms (cache hit)
npm http cache https://registry.npmjs.org/esquery 84ms (cache hit)
npm http cache https://registry.npmjs.org/esutils 84ms (cache hit)
npm http cache https://registry.npmjs.org/is-glob 79ms (cache hit)
npm http cache https://registry.npmjs.org/optionator 73ms (cache hit)
npm http cache https://registry.npmjs.org/glob-parent 55ms (cache hit)
npm http cache https://registry.npmjs.org/eslint-scope 47ms (cache hit)
npm http cache https://registry.npmjs.org/cross-spawn 67ms (cache hit)
npm http cache https://registry.npmjs.org/lodash.merge 48ms (cache hit)
npm http cache https://registry.npmjs.org/imurmurhash 59ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2festree 33ms (cache hit)
npm http cache https://registry.npmjs.org/@eslint%2fcore 62ms (cache hit)
npm http cache https://registry.npmjs.org/@humanfs%2fnode 40ms (cache hit)
npm http cache https://registry.npmjs.org/natural-compare 35ms (cache hit)
npm http cache https://registry.npmjs.org/fast-deep-equal 38ms (cache hit)
npm http cache https://registry.npmjs.org/file-entry-cache 37ms (cache hit)
npm http cache https://registry.npmjs.org/@eslint%2fplugin-kit 38ms (cache hit)
npm http cache https://registry.npmjs.org/eslint-visitor-keys 38ms (cache hit)
npm http cache https://registry.npmjs.org/@eslint%2fconfig-array 37ms (cache hit)
npm http cache https://registry.npmjs.org/escape-string-regexp 33ms (cache hit)
npm http cache https://registry.npmjs.org/@eslint%2fconfig-helpers 35ms (cache hit)
npm http cache https://registry.npmjs.org/@humanwhocodes%2fretry 45ms (cache hit)
npm http cache https://registry.npmjs.org/@eslint-community%2fregexpp 41ms (cache hit)
npm http cache https://registry.npmjs.org/@eslint-community%2feslint-utils 41ms (cache hit)
npm http cache https://registry.npmjs.org/json-stable-stringify-without-jsonify 42ms (cache hit)
npm http cache https://registry.npmjs.org/@humanwhocodes%2fmodule-importer 46ms (cache hit)
npm http cache https://registry.npmjs.org/prettier-linter-helpers 45ms (cache hit)
npm http cache https://registry.npmjs.org/synckit 45ms (cache hit)
npm http cache https://registry.npmjs.org/jsonwebtoken 43ms (cache hit)
npm http cache https://registry.npmjs.org/jwks-rsa 49ms (cache hit)
npm http cache https://registry.npmjs.org/@fastify%2fbusboy 53ms (cache hit)
npm http cache https://registry.npmjs.org/farmhash-modern 53ms (cache hit)
npm http cache https://registry.npmjs.org/google-auth-library 55ms (cache hit)
npm http cache https://registry.npmjs.org/@google-cloud%2ffirestore 50ms (cache hit)
npm http cache https://registry.npmjs.org/@jest%2fcore 58ms (cache hit)
npm http cache https://registry.npmjs.org/import-local 63ms (cache hit)
npm http cache https://registry.npmjs.org/@google-cloud%2fstorage 75ms (cache hit)
npm http cache https://registry.npmjs.org/jest-cli 73ms (cache hit)
npm http cache https://registry.npmjs.org/accepts 83ms (cache hit)
npm http cache https://registry.npmjs.org/engine.io 76ms (cache hit)
npm http cache https://registry.npmjs.org/socket.io-adapter 74ms (cache hit)
npm http cache https://registry.npmjs.org/base64id 89ms (cache hit)
npm http cache https://registry.npmjs.org/socket.io-parser 81ms (cache hit)
npm http cache https://registry.npmjs.org/buffer-from 73ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/cli-table3 762ms (cache miss)
npm http cache https://registry.npmjs.org/source-map 70ms (cache hit)
npm http cache https://registry.npmjs.org/methods 64ms (cache hit)
npm http cache https://registry.npmjs.org/qs 41ms (cache hit)
npm http cache https://registry.npmjs.org/superagent 68ms (cache hit)
npm http cache https://registry.npmjs.org/depd 48ms (cache hit)
npm http cache https://registry.npmjs.org/cookie-signature 67ms (cache hit)
npm http cache https://registry.npmjs.org/etag 49ms (cache hit)
npm http cache https://registry.npmjs.org/once 57ms (cache hit)
npm http cache https://registry.npmjs.org/send 58ms (cache hit)
npm http cache https://registry.npmjs.org/fresh 54ms (cache hit)
npm http cache https://registry.npmjs.org/vary 59ms (cache hit)
npm http cache https://registry.npmjs.org/cookie 57ms (cache hit)
npm http cache https://registry.npmjs.org/statuses 44ms (cache hit)
npm http cache https://registry.npmjs.org/router 57ms (cache hit)
npm http cache https://registry.npmjs.org/parseurl 55ms (cache hit)
npm http cache https://registry.npmjs.org/type-is 60ms (cache hit)
npm http cache https://registry.npmjs.org/encodeurl 51ms (cache hit)
npm http cache https://registry.npmjs.org/mime-types 50ms (cache hit)
npm http cache https://registry.npmjs.org/proxy-addr 50ms (cache hit)
npm http cache https://registry.npmjs.org/body-parser 40ms (cache hit)
npm http cache https://registry.npmjs.org/escape-html 40ms (cache hit)
npm http cache https://registry.npmjs.org/range-parser 25ms (cache hit)
npm http cache https://registry.npmjs.org/http-errors 40ms (cache hit)
npm http cache https://registry.npmjs.org/on-finished 40ms (cache hit)
npm http cache https://registry.npmjs.org/content-type 40ms (cache hit)
npm http cache https://registry.npmjs.org/finalhandler 40ms (cache hit)
npm http cache https://registry.npmjs.org/serve-static 38ms (cache hit)
npm http cache https://registry.npmjs.org/fast-json-stable-stringify 33ms (cache hit)
npm http cache https://registry.npmjs.org/bs-logger 35ms (cache hit)
npm http cache https://registry.npmjs.org/merge-descriptors 41ms (cache hit)
npm http cache https://registry.npmjs.org/content-disposition 42ms (cache hit)
npm http cache https://registry.npmjs.org/handlebars 37ms (cache hit)
npm http cache https://registry.npmjs.org/json5 39ms (cache hit)
npm http cache https://registry.npmjs.org/lodash.memoize 42ms (cache hit)
npm http cache https://registry.npmjs.org/semver 38ms (cache hit)
npm http cache https://registry.npmjs.org/make-error 42ms (cache hit)
npm http cache https://registry.npmjs.org/yargs-parser 36ms (cache hit)
npm http cache https://registry.npmjs.org/type-fest 45ms (cache hit)
npm http cache https://registry.npmjs.org/enhanced-resolve 44ms (cache hit)
npm http cache https://registry.npmjs.org/micromatch 47ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fjson-schema 49ms (cache hit)
npm http cache https://registry.npmjs.org/semver 53ms (cache hit)
npm http cache https://registry.npmjs.org/@webassemblyjs%2fast 51ms (cache hit)
npm http cache https://registry.npmjs.org/@webassemblyjs%2fwasm-parser 47ms (cache hit)
npm http cache https://registry.npmjs.org/@webassemblyjs%2fwasm-edit 53ms (cache hit)
npm http cache https://registry.npmjs.org/acorn-import-phases 49ms (cache hit)
npm http cache https://registry.npmjs.org/acorn 53ms (cache hit)
npm http cache https://registry.npmjs.org/chrome-trace-event 49ms (cache hit)
npm http cache https://registry.npmjs.org/browserslist 57ms (cache hit)
npm http cache https://registry.npmjs.org/enhanced-resolve 51ms (cache hit)
npm http cache https://registry.npmjs.org/events 45ms (cache hit)
npm http cache https://registry.npmjs.org/es-module-lexer 52ms (cache hit)
npm http cache https://registry.npmjs.org/glob-to-regexp 48ms (cache hit)
npm http cache https://registry.npmjs.org/loader-runner 43ms (cache hit)
npm http cache https://registry.npmjs.org/graceful-fs 49ms (cache hit)
npm http cache https://registry.npmjs.org/neo-async 46ms (cache hit)
npm http cache https://registry.npmjs.org/mime-db 54ms (cache hit)
npm http cache https://registry.npmjs.org/terser-webpack-plugin 40ms (cache hit)
npm http cache https://registry.npmjs.org/schema-utils 55ms (cache hit)
npm http cache https://registry.npmjs.org/tapable 54ms (cache hit)
npm http cache https://registry.npmjs.org/watchpack 50ms (cache hit)
npm http cache https://registry.npmjs.org/webpack-sources 49ms (cache hit)
npm http cache https://registry.npmjs.org/yn 52ms (cache hit)
npm http cache https://registry.npmjs.org/arg 51ms (cache hit)
npm http cache https://registry.npmjs.org/acorn-walk 52ms (cache hit)
npm http cache https://registry.npmjs.org/diff 57ms (cache hit)
npm http cache https://registry.npmjs.org/create-require 55ms (cache hit)
npm http cache https://registry.npmjs.org/@tsconfig%2fnode10 57ms (cache hit)
npm http cache https://registry.npmjs.org/@tsconfig%2fnode12 65ms (cache hit)
npm http cache https://registry.npmjs.org/@tsconfig%2fnode16 56ms (cache hit)
npm http cache https://registry.npmjs.org/@cspotcode%2fsource-map-support 50ms (cache hit)
npm http cache https://registry.npmjs.org/v8-compile-cache-lib 54ms (cache hit)
npm http cache https://registry.npmjs.org/@tsconfig%2fnode14 62ms (cache hit)
npm http cache https://registry.npmjs.org/strip-bom 44ms (cache hit)
npm http cache https://registry.npmjs.org/minimist 50ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/commander 2141ms (cache miss)
npm http fetch GET 200 https://registry.npmjs.org/@firebase%2fdatabase-compat 10846ms (cache miss)
npm http fetch GET 200 https://registry.npmjs.org/@firebase%2fdatabase-types 27618ms (cache miss)
npm http fetch GET 200 https://registry.npmjs.org/@typescript-eslint%2feslint-plugin 28451ms (cache miss)
npm http fetch GET 200 https://registry.npmjs.org/@typescript-eslint%2fparser 31305ms (cache miss)
npm http fetch GET 200 https://registry.npmjs.org/@typescript-eslint%2ftypescript-estree 33467ms (cache miss)
npm http cache https://registry.npmjs.org/parent-module 13ms (cache hit)
npm http cache https://registry.npmjs.org/uri-js 17ms (cache hit)
npm http cache https://registry.npmjs.org/argparse 16ms (cache hit)
npm http cache https://registry.npmjs.org/resolve-from 19ms (cache hit)
npm http cache https://registry.npmjs.org/json-schema-traverse 22ms (cache hit)
npm http cache https://registry.npmjs.org/ms 22ms (cache hit)
npm http cache https://registry.npmjs.org/brace-expansion 24ms (cache hit)
npm http cache https://registry.npmjs.org/acorn-jsx 27ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fnode 24ms (cache hit)
npm http cache https://registry.npmjs.org/ansi-colors 29ms (cache hit)
npm http cache https://registry.npmjs.org/ajv-formats 32ms (cache hit)
npm http cache https://registry.npmjs.org/symbol-observable 33ms (cache hit)
npm http cache https://registry.npmjs.org/picomatch 36ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fexpand 35ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2finput 43ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fsearch 44ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fselect 49ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fnumber 55ms (cache hit)
npm http cache https://registry.npmjs.org/magic-string 62ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2frawlist 65ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fconfirm 72ms (cache hit)
npm http cache https://registry.npmjs.org/ajv 86ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2feditor 95ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fcheckbox 97ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fpassword 93ms (cache hit)
npm http cache https://registry.npmjs.org/string-width 95ms (cache hit)
npm http cache https://registry.npmjs.org/@colors%2fcolors 94ms (cache hit)
npm http cache https://registry.npmjs.org/cosmiconfig 87ms (cache hit)
npm http cache https://registry.npmjs.org/@babel%2fcode-frame 96ms (cache hit)
npm http cache https://registry.npmjs.org/node-abort-controller 85ms (cache hit)
npm http cache https://registry.npmjs.org/readdirp 124ms (cache hit)
npm http cache https://registry.npmjs.org/memfs 100ms (cache hit)
npm http cache https://registry.npmjs.org/deepmerge 118ms (cache hit)
npm http cache https://registry.npmjs.org/fs-extra 115ms (cache hit)
npm http cache https://registry.npmjs.org/path-scurry 96ms (cache hit)
npm http cache https://registry.npmjs.org/minipass 104ms (cache hit)
npm http cache https://registry.npmjs.org/bl 89ms (cache hit)
npm http cache https://registry.npmjs.org/cli-cursor 79ms (cache hit)
npm http cache https://registry.npmjs.org/wcwidth 85ms (cache hit)
npm http cache https://registry.npmjs.org/strip-ansi 67ms (cache hit)
npm http cache https://registry.npmjs.org/cli-spinners 62ms (cache hit)
npm http cache https://registry.npmjs.org/is-unicode-supported 56ms (cache hit)
npm http cache https://registry.npmjs.org/log-symbols 68ms (cache hit)
npm http cache https://registry.npmjs.org/is-interactive 63ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2feslint-scope 46ms (cache hit)
npm http cache https://registry.npmjs.org/require-from-string 6ms (cache hit)
npm http cache https://registry.npmjs.org/fast-uri 8ms (cache hit)
npm http cache https://registry.npmjs.org/ajv 11ms (cache hit)
npm http cache https://registry.npmjs.org/@jridgewell%2fsourcemap-codec 6ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fansi 44ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2ffigures 45ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2ftype 47ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fexternal-editor 47ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fcore 51ms (cache hit)
npm http cache https://registry.npmjs.org/yoctocolors-cjs 57ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fcore 57ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2ftype 61ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fcore 65ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2ftype 66ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fcore 67ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fcore 68ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2ftype 75ms (cache hit)
npm http cache https://registry.npmjs.org/yoctocolors-cjs 74ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2ftype 76ms (cache hit)
npm http cache https://registry.npmjs.org/yoctocolors-cjs 30ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2ftype 41ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fcore 40ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fcore 53ms (cache hit)
npm http cache https://registry.npmjs.org/@inquirer%2fcore 51ms (cache hit)
npm http cache https://registry.npmjs.org/cli-width 10ms (cache hit)
npm http cache https://registry.npmjs.org/wrap-ansi 11ms (cache hit)
npm http cache https://registry.npmjs.org/signal-exit 11ms (cache hit)
npm http cache https://registry.npmjs.org/mute-stream 12ms (cache hit)
npm http cache https://registry.npmjs.org/ansi-styles 4ms (cache hit)
npm http cache https://registry.npmjs.org/chardet 4ms (cache hit)
npm http cache https://registry.npmjs.org/iconv-lite 6ms (cache hit)
npm http cache https://registry.npmjs.org/safer-buffer 5ms (cache hit)
npm http cache https://registry.npmjs.org/token-types 7ms (cache hit)
npm http cache https://registry.npmjs.org/@lukeed%2fcsprng 10ms (cache hit)
npm http cache https://registry.npmjs.org/strtok3 12ms (cache hit)
npm http cache https://registry.npmjs.org/@tokenizer%2finflate 16ms (cache hit)
npm http cache https://registry.npmjs.org/uint8array-extras 17ms (cache hit)
npm http cache https://registry.npmjs.org/object-assign 8ms (cache hit)
npm http cache https://registry.npmjs.org/append-field 9ms (cache hit)
npm http cache https://registry.npmjs.org/busboy 9ms (cache hit)
npm http cache https://registry.npmjs.org/concat-stream 13ms (cache hit)
npm http cache https://registry.npmjs.org/esprima 6ms (cache hit)
npm http cache https://registry.npmjs.org/array-timsort 8ms (cache hit)
npm http cache https://registry.npmjs.org/@scarf%2fscarf 5ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2frange-parser 7ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fconnect 9ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fsend 9ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fqs 10ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fhttp-errors 12ms (cache hit)
npm http cache https://registry.npmjs.org/@jest%2fget-type 16ms (cache hit)
npm http cache https://registry.npmjs.org/@jest%2fschemas 16ms (cache hit)
npm http cache https://registry.npmjs.org/jest-matcher-utils 19ms (cache hit)
npm http cache https://registry.npmjs.org/jest-mock 23ms (cache hit)
npm http cache https://registry.npmjs.org/@jest%2fexpect-utils 28ms (cache hit)
npm http cache https://registry.npmjs.org/jest-message-util 29ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/react-is 10480ms (cache miss)
npm http fetch GET 200 https://registry.npmjs.org/react-is 13094ms (cache miss)
npm http cache https://registry.npmjs.org/@types%2fcookiejar 5ms (cache hit)
npm http cache https://registry.npmjs.org/form-data 6ms (cache hit)
npm http cache https://registry.npmjs.org/asynckit 6ms (cache hit)
npm http cache https://registry.npmjs.org/hasown 7ms (cache hit)
npm http cache https://registry.npmjs.org/combined-stream 8ms (cache hit)
npm http cache https://registry.npmjs.org/es-set-tostringtag 9ms (cache hit)
npm http cache https://registry.npmjs.org/punycode 4ms (cache hit)
npm http cache https://registry.npmjs.org/emoji-regex 6ms (cache hit)
npm http cache https://registry.npmjs.org/is-fullwidth-code-point 6ms (cache hit)
npm http cache https://registry.npmjs.org/eslint 8ms (cache hit)
npm http cache https://registry.npmjs.org/@eslint%2fobject-schema 26ms (cache hit)
npm http cache https://registry.npmjs.org/levn 28ms (cache hit)
npm http cache https://registry.npmjs.org/@humanfs%2ftypes 29ms (cache hit)
npm http cache https://registry.npmjs.org/path-key 29ms (cache hit)
npm http cache https://registry.npmjs.org/shebang-command 31ms (cache hit)
npm http cache https://registry.npmjs.org/supports-color 35ms (cache hit)
npm http cache https://registry.npmjs.org/@humanfs%2fcore 39ms (cache hit)
npm http cache https://registry.npmjs.org/which 47ms (cache hit)
npm http cache https://registry.npmjs.org/esrecurse 51ms (cache hit)
npm http cache https://registry.npmjs.org/estraverse 52ms (cache hit)
npm http cache https://registry.npmjs.org/flat-cache 52ms (cache hit)
npm http cache https://registry.npmjs.org/locate-path 53ms (cache hit)
npm http cache https://registry.npmjs.org/is-extglob 53ms (cache hit)
npm http cache https://registry.npmjs.org/path-exists 55ms (cache hit)
npm http cache https://registry.npmjs.org/estraverse 59ms (cache hit)
npm http cache https://registry.npmjs.org/type-check 35ms (cache hit)
npm http cache https://registry.npmjs.org/word-wrap 38ms (cache hit)
npm http cache https://registry.npmjs.org/prelude-ls 42ms (cache hit)
npm http cache https://registry.npmjs.org/deep-is 43ms (cache hit)
npm http cache https://registry.npmjs.org/fast-levenshtein 38ms (cache hit)
npm http cache https://registry.npmjs.org/color-convert 5ms (cache hit)
npm http cache https://registry.npmjs.org/has-flag 7ms (cache hit)
npm http cache https://registry.npmjs.org/color-name 4ms (cache hit)
npm http cache https://registry.npmjs.org/isexe 5ms (cache hit)
npm http cache https://registry.npmjs.org/shebang-regex 7ms (cache hit)
npm http cache https://registry.npmjs.org/@pkgr%2fcore 5ms (cache hit)
npm http cache https://registry.npmjs.org/fast-diff 7ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fstack-utils 9ms (cache hit)
